ID,Sales
T1188341,54696.28
T1188342,40800.766
T1188343,86801.44
T1188344,37952.027
T1188345,43028.793
T1188346,106741.65
T1188347,60163.695
T1188348,44940.48
T1188349,52634.98
T1188350,32853.76
T1188351,46316.492
T1188352,44566.246
T1188353,41047.36
T1188354,43424.637
T1188355,44681.582
T1188356,39919.473
T1188357,45881.473
T1188358,21122.225
T1188359,31728.006
T1188360,51702.69
T1188361,29599.91
T1188362,43838.445
T1188363,43948.727
T1188364,30205.902
T1188365,47032.69
T1188366,31437.121
T1188367,38496.08
T1188368,30317.484
T1188369,38512.297
T1188370,46486.58
T1188371,37202.625
T1188372,54655.7
T1188373,36762.47
T1188374,37568.6
T1188375,74919.48
T1188376,62561.13
T1188377,38010.426
T1188378,31861.742
T1188379,28238.629
T1188380,68760.14
T1188381,29321.717
T1188382,38496.08
T1188383,33739.81
T1188384,37463.96
T1188385,47200.848
T1188386,44755.24
T1188387,66107.95
T1188388,65345.46
T1188389,30317.484
T1188390,100357.26
T1188391,39405.17
T1188392,46444.95
T1188393,67741.7
T1188394,47260.766
T1188395,37239.598
T1188396,68875.7
T1188397,45018.2
T1188398,46102.758
T1188399,39801.51
T1188400,47441.203
T1188401,37111.29
T1188402,21177.928
T1188403,50941.543
T1188404,33296.812
T1188405,40016.824
T1188406,21472.594
T1188407,54908.836
T1188408,38335.59
T1188409,37819.51
T1188410,24249.11
T1188411,57733.06
T1188412,25343.229
T1188413,40328.26
T1188414,26930.863
T1188415,31861.742
T1188416,47673.977
T1188417,48373.51
T1188418,44230.62
T1188419,47648.297
T1188420,54785.008
T1188421,25631.03
T1188422,49274.355
T1188423,65681.23
T1188424,38823.734
T1188425,34775.797
T1188426,40328.26
T1188427,60001.043
T1188428,38678.215
T1188429,66898.336
T1188430,52416.977
T1188431,43103.68
T1188432,24279.451
T1188433,54718.707
T1188434,34865.58
T1188435,38110.125
T1188436,53606.902
T1188437,53512.723
T1188438,25566.717
T1188439,47599.805
T1188440,39738.168
T1188441,33470.23
T1188442,49501.008
T1188443,45333.277
T1188444,43496.008
T1188445,37647.992
T1188446,28326.273
T1188447,59117.797
T1188448,59437.32
T1188449,43481.51
T1188450,38335.59
T1188451,50701.953
T1188452,21534.871
T1188453,46941.633
T1188454,29817.887
T1188455,66932.086
T1188456,26407.3
T1188457,28092.912
T1188458,34642.06
T1188459,73854.62
T1188460,20976.982
T1188461,45266.527
T1188462,41056.88
T1188463,25629.533
T1188464,46205.02
T1188465,46683.734
T1188466,32001.39
T1188467,27423.3
T1188468,42430.207
T1188469,43217.785
T1188470,22583.725
T1188471,44566.246
T1188472,46339.516
T1188473,45859.39
T1188474,45668.574
T1188475,23460.928
T1188476,44940.48
T1188477,34306.082
T1188478,37239.598
T1188479,18825.738
T1188480,47260.766
T1188481,51836.875
T1188482,46767.36
T1188483,50792.668
T1188484,46721.266
T1188485,27296.463
T1188486,19587.51
T1188487,43968.215
T1188488,43616.613
T1188489,31861.742
T1188490,46721.266
T1188491,44755.24
T1188492,30104.191
T1188493,37463.96
T1188494,51569.09
T1188495,28273.842
T1188496,45671.812
T1188497,27777.812
T1188498,37328.1
T1188499,44087.43
T1188500,54353.848
T1188501,34562.668
T1188502,40016.824
T1188503,33758.03
T1188504,30141.332
T1188505,28561.482
T1188506,54640.1
T1188507,42829.035
T1188508,44863.8
T1188509,30392.686
T1188510,37781.73
T1188511,37743.438
T1188512,43894.836
T1188513,30258.344
T1188514,39843.137
T1188515,57821.785
T1188516,37202.625
T1188517,56130.195
T1188518,35208.332
T1188519,45181.902
T1188520,22453.025
T1188521,50233.434
T1188522,38870.406
T1188523,30172.127
T1188524,45315.184
T1188525,65653.62
T1188526,29249.371
T1188527,37586.63
T1188528,34422.582
T1188529,53606.902
T1188530,45333.277
T1188531,53341.332
T1188532,46311.28
T1188533,40263.04
T1188534,43427.62
T1188535,53287.957
T1188536,59029.816
T1188537,74932.984
T1188538,56416.42
T1188539,49800.16
T1188540,44554.645
T1188541,37239.598
T1188542,68056.31
T1188543,45296.777
T1188544,45397.395
T1188545,39932.66
T1188546,28816.803
T1188547,39261.7
T1188548,51569.09
T1188549,30205.902
T1188550,44211.562
T1188551,44969.824
T1188552,18716.383
T1188553,45333.277
T1188554,74672.516
T1188555,34306.082
T1188556,65206.332
T1188557,21809.559
T1188558,28816.803
T1188559,41513.305
T1188560,40304.504
T1188561,46374.785
T1188562,28273.842
T1188563,38024.594
T1188564,51112.863
T1188565,43285.074
T1188566,46102.758
T1188567,53606.902
T1188568,20765.666
T1188569,43217.785
T1188570,37202.625
T1188571,27776.041
T1188572,59802.426
T1188573,34435.656
T1188574,37781.73
T1188575,39405.17
T1188576,52470.895
T1188577,39427.617
T1188578,33313.54
T1188579,34642.06
T1188580,34642.06
T1188581,38282.95
T1188582,28694.664
T1188583,33027.234
T1188584,28087.803
T1188585,72000.11
T1188586,35208.332
T1188587,51012.31
T1188588,28561.482
T1188589,27783.312
T1188590,45018.2
T1188591,28833.674
T1188592,36048.266
T1188593,21534.871
T1188594,73336.8
T1188595,30450.162
T1188596,44087.43
T1188597,106150.92
T1188598,51919.46
T1188599,54891.4
T1188600,37190.51
T1188601,46767.36
T1188602,26907.822
T1188603,73379.78
T1188604,43217.785
T1188605,66856.945
T1188606,29601.406
T1188607,56785.312
T1188608,47394.133
T1188609,27141.363
T1188610,71356.67
T1188611,31414.818
T1188612,47844.766
T1188613,45181.902
T1188614,53287.957
T1188615,30104.191
T1188616,58505.184
